   5383 la_plat+  20   0   11708   5252   3304 R   6.2   0.3   0:00.02 top
      1 root      20   0  168020   8720   5880 S   0.0   0.4   0:01.41 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.55 ksoftir+
     15 root      20   0       0      0      0 I   0.0   0.0   0:01.35 rcu_pre+
     16 root      rt   0       0      0      0 S   0.0   0.0   0:00.06 migrati+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     21 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
     22 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.01 khungta+
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     27 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     29 root      20   0       0      0      0 S   0.0   0.0   0:01.28 kcompac+
     30 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     31 root      39  19       0      0      0 S   0.0   0.0   0:01.03 khugepa+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
     33 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     34 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:02.13 kworker+
     39 root      20   0       0      0      0 S   0.0   0.0   0:05.28 kswapd0
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
     47 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     48 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     49 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     50 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     51 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
     52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
     53 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
     54 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
     55 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
     56 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
     57 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
     58 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
     59 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     60 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
     62 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
     65 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    155 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mpt_pol+
    157 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mpt/0
    158 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    159 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
    160 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    161 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    162 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    164 root     -51   0       0      0      0 S   0.0   0.0   0:00.01 irq/16-+
    166 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    167 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    211 root      20   0       0      0      0 S   0.0   0.0   0:00.39 jbd2/sd+
    212 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    255 root      20   0   49852  13324  12628 S   0.0   0.7   0:00.71 systemd+
    280 root      20   0   27304   3836   2584 S   0.0   0.2   0:00.16 systemd+
    355 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/56-+
    356 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
    358 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
    366 systemd+  20   0   90228   3844   3244 S   0.0   0.2   0:00.07 systemd+
    374 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    441 root      20   0  237212   7024   6684 S   0.0   0.4   0:00.08 account+
    448 avahi     20   0    8364   3824   3400 S   0.0   0.2   0:00.21 avahi-d+
    454 root      20   0    6608   2564   2328 S   0.0   0.1   0:00.02 cron
    457 message+  20   0   11748   5760   3748 S   0.0   0.3   0:00.70 dbus-da+
    464 root      -2   0  230012   4868   4452 S   0.0   0.2   0:00.04 low-mem+
    465 polkitd   20   0  310960   9948   6664 S   0.0   0.5   0:00.46 polkitd
    467 root      20   0  237276   6064   6064 S   0.0   0.3   0:00.03 power-p+
    468 root      20   0  233396   5672   5576 S   0.0   0.3   0:00.03 switche+
    470 root      20   0   17132   4608   3744 S   0.0   0.2   0:00.13 systemd+
    474 root      20   0  394804   8044   6720 S   0.0   0.4   0:00.14 udisksd
    478 avahi     20   0    8100    264      0 S   0.0   0.0   0:00.00 avahi-d+
    481 root      20   0  259244  11476   8308 S   0.0   0.6   0:00.42 Network+
    483 root      20   0   16520   2432   1780 S   0.0   0.1   0:00.08 wpa_sup+
    527 root      20   0  317312   7496   6300 S   0.0   0.4   0:00.09 ModemMa+
    570 root      -2   0       0      0      0 S   0.0   0.0   0:00.27 psimon
    589 root      20   0   26632   4944   4176 S   0.0   0.2   0:00.03 cupsd
    611 root      20   0  176244   7188   7188 S   0.0   0.4   0:00.05 cups-br+
    613 root      20   0  240536   7948   7284 S   0.0   0.4   0:00.06 gdm3
    667 rtkit     21   1   22700   1368   1160 S   0.0   0.1   0:00.14 rtkit-d+
    801 root      20   0  233904   6184   5788 S   0.0   0.3   0:00.06 upowerd
    830 colord    20   0  242608   6660   6660 S   0.0   0.3   0:00.11 colord
   1094 root      20   0  313124   8532   7320 S   0.0   0.4   0:00.18 gdm-ses+
   1110 la_plat+  20   0   19692   7472   5560 S   0.0   0.4   0:00.31 systemd
   1111 la_plat+  20   0  103460   1360      0 S   0.0   0.1   0:00.00 (sd-pam)
   1126 la_plat+   9 -11   55132  10524   6408 S   0.0   0.5   0:01.79 pipewire
   1135 la_plat+   9 -11  257484  11644   8932 S   0.0   0.6   0:00.24 wireplu+
   1136 la_plat+   9 -11   34616   9860   5920 S   0.0   0.5   0:00.15 pipewir+
   1137 la_plat+  20   0   10580   5360   3700 S   0.0   0.3   0:00.72 dbus-da+
   1138 la_plat+  20   0  240108   7812   7304 S   0.0   0.4   0:00.07 gnome-k+
   1151 la_plat+  20   0  159460   5520   5520 S   0.0   0.3   0:00.00 gdm-way+
   1159 la_plat+  20   0  298280   9948   9948 S   0.0   0.5   0:00.02 gnome-s+
   1166 la_plat+  20   0  237724   6620   6232 S   0.0   0.3   0:00.05 gvfsd
   1201 la_plat+  20   0  380364   5260   5260 S   0.0   0.3   0:00.00 gvfsd-f+
   1213 la_plat+  20   0   88372   4668   4124 S   0.0   0.2   0:00.00 gcr-ssh+
   1214 la_plat+  20   0   88820   4408   4408 S   0.0   0.2   0:00.01 gnome-s+
   1215 la_plat+  20   0    7796   1836   1384 S   0.0   0.1   0:00.00 ssh-age+
   1221 la_plat+  20   0  594164  11544  10536 S   0.0   0.6   0:00.10 gnome-s+
   1239 la_plat+  20   0  311196   6632   6396 S   0.0   0.3   0:00.01 at-spi-+
   1241 la_plat+  20   0 3460832 213108  75488 S   0.0  10.8   4:31.18 gnome-s+
   1247 la_plat+  20   0    9120   3852   3696 S   0.0   0.2   0:00.04 dbus-da+
   1323 la_plat+  20   0  237012   4912   4912 S   0.0   0.2   0:00.01 xdg-per+
   1326 la_plat+  20   0  581012  10532   9692 S   0.0   0.5   0:00.13 gnome-s+
   1343 la_plat+  20   0  812032  15976  12400 S   0.0   0.8   0:00.24 evoluti+
   1352 la_plat+  20   0  663804   9916   9916 S   0.0   0.5   0:00.11 goa-dae+
   1353 geoclue   20   0  471180  12820   8572 S   0.0   0.6   0:00.27 geoclue
   1366 la_plat+  20   0  700940  12092   9208 S   0.0   0.6   0:00.17 evoluti+
   1367 la_plat+  20   0  499504  11640   8564 S   0.0   0.6   0:00.08 gvfs-ud+
   1374 la_plat+  20   0  233728   5756   5536 S   0.0   0.3   0:00.03 gvfs-go+
   1383 la_plat+  20   0  687472  11852  10612 S   0.0   0.6   0:00.16 evoluti+
   1393 la_plat+  20   0  312900   8172   6168 S   0.0   0.4   0:00.03 goa-ide+
   1395 la_plat+  20   0  234620   5608   5456 S   0.0   0.3   0:00.04 gvfs-gp+
   1408 la_plat+  20   0  312620   7836   5504 S   0.0   0.4   0:00.46 gvfs-af+
   1415 la_plat+  20   0  233536   5900   5668 S   0.0   0.3   0:00.03 gvfs-mt+
   1424 la_plat+  20   0  164312   6216   6052 S   0.0   0.3   0:00.03 at-spi2+
   1425 la_plat+  20   0 2727404  11828   9908 S   0.0   0.6   0:00.12 gjs
   1432 la_plat+  20   0    2576    704    704 S   0.0   0.0   0:00.00 sh
   1433 la_plat+  20   0  307720   6168   5924 S   0.0   0.3   0:00.02 gsd-a11+
   1434 la_plat+  20   0  340740  15292  11552 S   0.0   0.8   0:00.15 gsd-col+
   1435 la_plat+  20   0  355604   7912   7708 S   0.0   0.4   0:00.04 gsd-dat+
   1439 la_plat+  20   0  309456   6720   6328 S   0.0   0.3   0:00.17 gsd-hou+
   1441 la_plat+  20   0  231776   7888   5408 S   0.0   0.4   0:00.03 gsd-dis+
   1443 la_plat+  20   0  339476  14016  10396 S   0.0   0.7   0:00.11 gsd-key+
   1444 la_plat+  20   0  447660  18284  12996 S   0.0   0.9   0:00.21 gsd-med+
   1445 la_plat+  20   0  377188  16736  12868 S   0.0   0.8   0:00.23 gsd-pow+
   1448 la_plat+  20   0  247432   7688   7252 S   0.0   0.4   0:00.03 gsd-pri+
   1449 la_plat+  20   0  454988   5944   5604 S   0.0   0.3   0:00.03 gsd-rfk+
